Real NVFP4 GEMM (cutlass_scaled_fp4_mm) vs BF16 — RTX PRO 6000 sm_120
supports_fp4=True
     M      K      N  bf16_TF   fp4_TF  speedup   relerr
    16   8192   8192       45       49    1.10x    0.134
   512   8192   8192      325     1040    3.20x    0.135
  4096   8192   8192      391     1481    3.79x    0.134
  8192   8192   8192      425     1557    3.66x    0.134
    16   8192  28672       24       51    2.12x    0.134
   512   8192  28672      377     1258    3.34x    0.134
  4096   8192  28672      414     1514    3.66x    0.134
  8192   8192  28672      415     1549    3.73x    0.134
    16  28672   8192       24       72    3.02x    0.135
   512  28672   8192      399     1167    2.92x    0.134
  4096  28672   8192      413     1507    3.65x    0.134
  8192  28672   8192      415     1536    3.70x    0.134
